Price,Open,High,Low,Close,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
2022-01-19,7104.10986328125,7211.240234375,7104.10986328125,7172.97998046875,84173800
2022-01-20,7190.02001953125,7199.97021484375,7123.6201171875,7194.16015625,76932800
2022-01-21,7088.43994140625,7122.06005859375,7013.490234375,7068.58984375,110697300
2022-01-24,7014.83984375,7070.919921875,6754.240234375,6787.7900390625,0
2022-01-25,6870.27001953125,6890.5400390625,6776.7998046875,6837.9599609375,98212900
2022-01-26,6901.740234375,7024.14013671875,6901.740234375,6981.9599609375,0
2022-01-27,6879.64013671875,7053.4501953125,6873.60009765625,7023.7998046875,100076500
2022-01-28,7043.43017578125,7053.0,6846.22021484375,6965.8798828125,106663500
2022-01-31,7039.7099609375,7043.22021484375,6937.10009765625,6999.2001953125,90912900
2022-02-01,7052.2998046875,7105.22998046875,7035.91015625,7099.490234375,81607500
2022-02-02,7117.4501953125,7150.5400390625,7109.2998046875,7115.27001953125,0
2022-02-03,7115.2998046875,7125.580078125,6995.41015625,7005.6298828125,88710000
2022-02-04,7049.7998046875,7066.43994140625,6914.77001953125,6951.3798828125,0
2022-02-07,6987.169921875,7025.58984375,6929.7099609375,7009.25,72651700
2022-02-08,7008.2001953125,7085.64013671875,6994.14990234375,7028.41015625,95664200
2022-02-09,7086.33984375,7146.31005859375,7086.33984375,7130.8798828125,86888200
2022-02-10,7141.68994140625,7169.6298828125,7051.60009765625,7101.5498046875,86508200
2022-02-11,7025.5,7071.009765625,6992.08984375,7011.60009765625,82859100
2022-02-14,6868.06982421875,6875.31005859375,6757.330078125,6852.2001953125,117972900
2022-02-15,6830.740234375,6983.14013671875,6823.4501953125,6979.97021484375,92474100
2022-02-16,7009.68994140625,7031.93017578125,6931.08984375,6964.97998046875,74789000
2022-02-17,6999.1298828125,7017.06982421875,6905.68994140625,6946.81982421875,90183200
2022-02-18,6951.830078125,6995.6201171875,6895.08984375,6929.6298828125,87348900
2022-02-21,6984.31005859375,6986.830078125,6744.1298828125,6788.33984375,0
2022-02-22,6633.740234375,6834.77001953125,6633.740234375,6787.60009765625,101457400
2022-02-23,6801.66015625,6904.81005859375,6768.3798828125,6780.669921875,86393600
2022-02-24,6496.25,6617.08984375,6432.89013671875,6521.0498046875,207949400
2022-02-25,6571.9501953125,6762.77978515625,6521.56005859375,6752.43017578125,152427400
2022-02-28,6620.47998046875,6684.5400390625,6516.16015625,6658.830078125,171929700
2022-03-01,6646.16015625,6662.25,6396.490234375,6396.490234375,171611200
2022-03-02,6359.97998046875,6544.14990234375,6312.2998046875,6498.02001953125,169994900
2022-03-03,6488.25,6543.77001953125,6361.60009765625,6378.3701171875,132457000
2022-03-04,6308.33984375,6321.08984375,6061.66015625,6061.66015625,180586100
2022-03-07,5887.830078125,6115.22998046875,5756.3798828125,5982.27001953125,243010200
2022-03-08,5906.6201171875,6169.60009765625,5903.10009765625,5962.9599609375,168209400
2022-03-09,6131.27978515625,6387.830078125,6122.7998046875,6387.830078125,189777300
2022-03-10,6376.56982421875,6380.77001953125,6166.10986328125,6207.2001953125,148747200
2022-03-11,6233.1201171875,6466.1201171875,6165.41015625,6260.25,136389500
2022-03-14,6298.9599609375,6421.080078125,6271.81982421875,6369.93994140625,113227400
2022-03-15,6294.72021484375,6383.75,6206.0498046875,6355.0,102702800
2022-03-16,6484.330078125,6680.0,6481.7001953125,6588.64013671875,145251100
2022-03-17,6617.22998046875,6635.31005859375,6530.7900390625,6612.52001953125,100583800
2022-03-18,6613.9501953125,6620.240234375,6499.58984375,6620.240234375,191790200
2022-03-21,6608.7900390625,6642.4599609375,6574.06982421875,6582.330078125,78342900
2022-03-22,6586.64990234375,6666.83984375,6578.91015625,6659.41015625,79017900
2022-03-23,6674.68017578125,6684.7001953125,6559.31005859375,6581.43017578125,76824400
2022-03-24,6593.14990234375,6636.580078125,6541.31982421875,6555.77001953125,82199900
2022-03-25,6569.4501953125,6615.89990234375,6538.7998046875,6553.68017578125,73936900
2022-03-28,6578.72021484375,6683.7001953125,6572.009765625,6589.10986328125,78385700
2022-03-29,6675.14990234375,6829.39990234375,6658.77978515625,6792.16015625,110146300
2022-03-30,6771.08984375,6771.08984375,6705.68994140625,6741.58984375,80090300
2022-03-31,6759.419921875,6776.1298828125,6658.740234375,6659.8701171875,81436400
2022-04-01,6672.97998046875,6708.56005859375,6635.27001953125,6684.31005859375,65149500
